site_number	state	sequence_number	service_schedule
04941.76*A	IL	1	UNATTENDED
04941.77*A	IL	1	IRREGULAR
04941.78*A	IL	1	UNATTENDED
04944.*A	IL	1	UNATTENDED
04945.51*A	IL	1	ALL/MON-FRI/0800-1700
04945.54*H	IL	1	ALL/ALL/ALL
04947.16*A	IL	1	UNATTENDED
04947.3*A	IL	1	ALL/MON-SAT/0800-1700
04949.*A	IL	1	UNATTENDED
04949.8*A	IL	1	UNATTENDED
04950.12*A	IL	1	UNATTENDED
04950.2*A	IL	1	UNATTENDED
04952.*A	IL	1	ALL/MON-FRI/0800-1700
04952.*A	IL	2	ALL/SAT/0800-1200
04952.121*A	IL	1	UNATTENDED
04952.122*A	IL	1	UNATTENDED
04952.123*A	IL	1	IRREGULAR
04952.15*H	IL	1	UNATTENDED
04952.34*A	IL	1	UNATTENDED
04952.43*A	IL	1	ALL/ALL/SR-SS
04955.01*A	IL	1	UNATTENDED
04955.02*H	IL	1	UNATTENDED
04955.03*H	IL	1	UNATTENDED
04955.10*H	IL	1	UNATTENDED
04956.81*A	IL	1	UNATTENDED
04957.2*A	IL	1	UNATTENDED
04957.4*H	IL	1	ALL/ALL/ALL
04958.*A	IL	2	ALL/MON-FRI/0530-2200
04958.*A	IL	3	ALL/SAT/0530-2200
04958.*A	IL	4	ALL/SUN/0530-2200
04958.6*A	IL	1	UNATTENDED
04958.85*A	IL	1	ALL/MON-SAT/0800-1700
04960.39*H	IL	1	ALL/ALL/ALL
04960.42*A	IL	1	UNATTENDED
04964.1*A	IL	1	ALL/ALL/SR-SS
04965.*A	IL	1	IRREGULAR
04968.1*A	IL	1	ALL/MON-SAT/0700-1800
04968.12*H	IL	1	UNATTENDED
04970.*A	IL	2	ALL/ALL/0800-1630
04970.13*A	IL	1	UNATTENDED
04970.15*H	IL	1	ALL/ALL/ALL
04971.51*A	IL	1	UNATTENDED
04971.52*A	IL	1	UNATTENDED
04972.11*H	IL	1	UNATTENDED
04972.13*A	IL	1	UNATTENDED
04972.14*H	IL	1	UNATTENDED
04972.2*A	IL	1	UNATTENDED
04972.3*A	IL	1	UNATTENDED
04972.4*A	IL	1	UNATTENDED
04972.6*H	IL	1	UNATTENDED
04972.61*H	IL	1	ALL/ALL/ALL
04972.7*H	IL	1	ALL/MON-FRI/0800-1700
04974.*A	IL	1	ALL/ALL/ALL
04975.*A	IL	1	UNATTENDED
04975.4*H	IL	1	ALL/ALL/ALL
04975.71*A	IL	2	ALL/ALL/ALL
04975.74*A	IL	1	UNATTENDED
04975.75*A	IL	1	MAY-SEP/MON-FRI/IREG
04975.94*H	IL	1	UNATTENDED
04977.455*H	IL	1	APR-NOV/ALL/0500-2100
04977.57*A	IL	1	UNATTENDED
04981.5*A	IL	1	ALL/ALL/0800-1700
04982.12*A	IL	1	UNATTENDED
04985.*A	IL	1	UNATTENDED
04987.3*A	IL	1	ALL/ALL/ALL
04987.36*A	IL	1	UNATTENDED
04987.41*A	IL	1	UNATTENDED
04989.*A	IL	1	ALL/ALL/ALL
04989.02*H	IL	1	UNATTENDED
04991.*A	IL	2	ALL/ALL/IREG
04991.01*A	IL	1	UNATTENDED
04991.02*H	IL	1	ALL/ALL/ON CALL
04992.1*A	IL	1	UNATTENDED
04992.65*H	IL	1	IRREGULAR
04992.812*A	IL	1	UNATTENDED
04992.831*H	IL	1	IRREGULAR
04994.*A	IL	1	UNATTENDED
04994.01*H	IL	1	ALL/ALL/0700-1900
04995.09*A	IL	1	UNATTENDED
04995.6*A	IL	1	IRREGULAR
04997.*A	IL	1	ALL/ALL/0800-DUSK
04997.01*H	IL	1	ALL/ALL/ALL
04998.11*A	IL	1	IRREGULAR
04999.21*A	IL	1	ALL/ALL/ALL
04999.35*A	IL	1	IRREGULAR
04999.46*A	IL	1	UNATTENDED
04999.5*H	IL	1	ALL/ALL/ALL
04999.7*A	IL	1	UNATTENDED
05000.01*H	IL	1	ALL/ALL/ALL
05000.9*A	IL	1	UNATTENDED
05000.92*A	IL	1	IRREGULAR
05001.3*A	IL	1	UNATTENDED
05001.8*C	IL	1	UNATTENDED
05002.03*A	IL	1	UNATTENDED
05002.3*A	IL	1	ALL/MON-FRI/0800-1700
05002.3*A	IL	2	ALL/SAT/0800-1500
05007.12*H	IL	1	ALL/ALL/ALL
05007.15*H	IL	1	UNATTENDED
05007.17*H	IL	1	ALL/ALL/ALL
05008.*A	IL	1	ALL/ALL/0530-0000
05008.3*A	IL	1	UNATTENDED
05008.31*A	IL	1	UNATTENDED
05009.2*H	IL	1	UNATTENDED
05010.9*A	IL	1	IRREGULAR
05010.92*H	IL	1	UNATTENDED
05012.1*A	IL	1	ALL/ALL/0800-1700
05012.15*H	IL	1	ALL/ALL/ALL
05012.4*A	IL	1	UNATTENDED
05012.61*A	IL	1	UNATTENDED
05012.62*A	IL	1	UNATTENDED
05012.64*A	IL	1	UNATTENDED
05012.65*A	IL	1	IRREGULAR
05012.9*A	IL	1	UNATTENDED
05012.91*H	IL	1	IRREGULAR
05014.*A	IL	1	ALL/ALL/IRREG
05014.05*A	IL	1	UNATTENDED
05014.5*A	IL	1	UNATTENDED
05016.2*A	IL	1	IRREGULAR
05017.*A	IL	1	ALL/ALL/IREG
05017.01*H	IL	1	ALL/ALL/ALL
05018.*A	IL	1	UNATTENDED
05018.4*A	IL	1	IRREGULAR
05019.*H	IL	1	ALL/ALL/ALL
05022.1*A	IL	1	UNATTENDED
05022.11*A	IL	1	UNATTENDED
05022.5*A	IL	1	UNATTENDED
05022.69*H	IL	1	UNATTENDED
05023.6*A	IL	1	ALL/MON-FRI/0900-1700
05023.61*H	IL	1	UNATTENDED
05024.5*A	IL	1	UNATTENDED
05025.2*A	IL	1	UNATTENDED
05025.21*A	IL	1	UNATTENDED
05025.5*A	IL	1	UNATTENDED
05027.7*H	IL	1	UNATTENDED
05029.*A	IL	1	UNATTENDED
05030.1*A	IL	1	ALL/MON-FRI/IRREGULAR
05030.1*A	IL	2	ALL/SAT-SUN/ON CALL
05030.5*H	IL	1	ALL/ALL/ALL
05030.51*H	IL	1	ALL/ALL/ALL
05031.49*H	IL	1	UNATTENDED
05031.5*A	IL	1	ALL/ALL/ALL
05031.51*A	IL	1	IRREGULAR
05031.52*A	IL	1	UNATTENDED
05031.9*A	IL	1	UNATTENDED
05031.98*H	IL	1	ALL/ALL/ALL
05031.99*H	IL	1	UNATTENDED
05032.*A	IL	1	ALL/ALL/DAWN-DUSK
05034.3*A	IL	1	ALL/ALL/DALGT
05035.*A	IL	1	ALL/IRREGULAR/
05035.02*H	IL	1	ALL/ALL/ALL
05036.01*H	IL	1	IRREGULAR
05037.9*A	IL	1	UNATTENDED
05038.32*A	IL	1	UNATTENDED
05038.37*A	IL	1	UNATTENDED
05038.38*A	IL	1	UNATTENDED
05038.39*A	IL	1	UNATTENDED
05038.4*A	IL	1	IRREGULAR
05038.562*A	IL	1	UNATTENDED
05038.57*H	IL	1	UNATTENDED
05038.8*H	IL	1	ALL/ALL/ALL
05038.911*A	IL	1	UNATTENDED
05039.111*A	IL	1	UNATTENDED
05039.13*H	IL	1	ALL/ALL/ALL
05039.3*A	IL	1	UNATTENDED
05045.*A	IL	1	ALL/ALL/0800-DUSK
05052.1*H	IL	1	ALL/ALL/ALL
05052.12*H	IL	1	UNATTENDED
05054.*A	IL	1	UNATTENDED
05054.51*A	IL	1	UNATTENDED
05054.52*A	IL	1	UNATTENDED
05054.53*H	IL	1	ALL/ALL/DAWN-DUSK
05054.54*A	IL	1	UNATTENDED
05056.05*A	IL	1	IRREGULAR
05056.18*H	IL	1	ALL/ALL/ALL
05063.*A	IL	1	UNATTENDED
05064.651*H	IL	1	UNATTENDED
05065.31*H	IL	1	UNATTENDED
05066.*A	IL	1	UNATTENDED
05068.02*H	IL	1	UNATTENDED
05071.2*A	IL	1	UNATTENDED
05071.21*H	IL	1	ALL/ALL/ALL
05074.*A	IL	1	ON CALL
05074.5*H	IL	1	UNATTENDED
05075.*A	IL	1	UNATTENDED
05085.01*H	IN	1	UNATTENDED
05086.5*A	IN	1	UNATTENDED
05086.51*A	IN	1	IRREGULAR
05087.3*A	IN	2	IRREGULAR
05087.4*A	IN	1	UNATTENDED
05088.*A	IN	1	UNATTENDED
05089.*A	IN	1	UNATTENDED
05089.12*H	IN	1	UNATTENDED
05090.1*A	IN	3	ALL/MON-FRI/0700-1800
05090.1*A	IN	4	ALL/SAT-SUN/1000-1800
05092.*A	IN	1	MAR-NOV/MON-SAT/0800-1700
05092.*A	IN	2	MAR-NOV/SUN/1200-1700
05092.*A	IN	3	DEC-FEB/MON-FRI/0800-1700
05092.01*H	IN	1	ALL/ALL/ALL
05092.02*C	IN	1	UNATTENDED
05092.03*C	IN	1	UNATTENDED
05092.04*C	IN	1	UNATTENDED
05092.05*C	IN	1	UNATTENDED
05092.06*A	IN	1	UNATTENDED
05092.1*A	IN	1	UNATTENDED
05094.9*A	IN	1	UNATTENDED
05094.92*A	IN	1	UNATTENDED
05095.2*A	IN	1	UNATTENDED
05095.22*A	IN	1	MAY-SEP/ALL/DALGT
05095.4*A	IN	1	UNATTENDED
05096.02*A	IN	1	UNATTENDED
05101.1*A	IN	5	ALL/MON-FRI/0800-1700
05101.1*A	IN	6	ALL/SAT-SUN/0900-1700
05101.11*H	IN	1	UNATTENDED
05102.*H	IN	1	UNATTENDED
05105.*A	IN	1	UNATTENDED
05107.8*A	IN	1	UNATTENDED
05107.82*A	IN	1	UNATTENDED
05107.83*A	IN	1	UNATTENDED
05108.1*A	IN	2	IRREGULAR
05109.1*H	IN	1	ALL/ALL/0700-2200
05110.*A	IN	1	ALL/MON-FRI/0900-1700
05110.*A	IN	2	ALL/SAT/0900-1200
05110.1*H	IN	1	UNATTENDED
05111.1*A	IN	1	UNATTENDED
05120.*A	IN	2	UNATTENDED
05126.*A	IN	1	ALL/ALL/0630-2130
05126.1*H	IN	1	UNATTENDED
05126.2*C	IN	1	UNATTENDED
05134.*A	IN	1	ALL/ALL/IREG
05134.2*A	IN	1	UNATTENDED
05134.3*H	IN	1	ALL/ALL/ALL
05136.*A	IN	1	UNATTENDED
05136.1*A	IN	1	UNATTENDED
05136.61*A	IN	1	IRREGULAR
05136.62*A	IN	1	UNATTENDED
05138.*A	IN	1	UNATTENDED
05138.1*A	IN	1	UNATTENDED
05138.2*A	IN	1	UNATTENDED
05140.*H	IN	1	UNATTENDED
05140.11*A	IN	1	UNATTENDED
05140.13*A	IN	1	ALL/ALL/DAWN-DUSK
05140.41*A	IN	1	UNATTENDED
05140.42*A	IN	1	UNATTENDED
05140.43*A	IN	1	UNATTENDED
05140.45*H	IN	1	UNATTENDED
05144.2*C	IN	1	UNATTENDED
05146.01*A	IN	1	UNATTENDED
05146.02*A	IN	1	UNATTENDED
05147.51*A	IN	1	UNATTENDED
05148.*U	IN	1	UNATTENDED
05149.111*A	IN	1	UNATTENDED
05149.6*A	IN	1	UNATTENDED
05150.*A	IN	1	ALL/ALL/ALL
05161.*A	IN	1	UNATTENDED
05168.*A	IN	1	UNATTENDED
05168.03*H	IN	1	ALL/ALL/ALL
05170.*A	IN	1	UNATTENDED
05178.5*A	IN	1	UNATTENDED
05179.*A	IN	1	UNATTENDED
05179.5*A	IN	1	ALL/ALL/ALL
05181.*A	IN	1	UNATTENDED
05181.81*A	IN	1	UNATTENDED
05181.82*A	IN	1	IRREGULAR
05181.83*A	IN	1	UNATTENDED
05182.*A	IN	1	UNATTENDED
05184.8*H	IN	1	ALL/ALL/ALL
05184.89*H	IN	1	UNATTENDED
05184.891*C	IN	1	UNATTENDED
05184.892*H	IN	1	UNATTENDED
05185.02*H	IN	1	ALL/ALL/IREG
05187.*A	IN	1	UNATTENDED
05187.12*A	IN	1	UNATTENDED
05190.1*A	IN	1	ON CALL
05190.11*A	IN	1	MAY-NOV/ALL/DALGT
05190.12*A	IN	1	ALL/MON-SAT/DAWN-DUSK
05190.13*A	IN	1	UNATTENDED
05190.14*A	IN	1	UNATTENDED
05192.*A	IN	1	ALL/ALL/0600-2000
05192.01*H	IN	1	ALL/ALL/ALL
05192.1*A	IN	1	UNATTENDED
05194.*A	IN	1	ALL/ALL/0800-1700
05194.2*U	IN	1	UNATTENDED
05194.4*A	IN	1	IRREGULAR
05196.*A	IN	1	UNATTENDED
05199.06*A	IN	1	ALL/ALL/ALL
05199.1*H	IN	1	ALL/ALL/0700-1700
05210.*A	IN	1	ALL/ALL/0900-1700
05210.01*H	IN	1	ALL/ALL/ALL
05210.02*A	IN	1	UNATTENDED
05210.03*A	IN	1	UNATTENDED
05214.01*H	IN	1	UNATTENDED
05218.1*A	IN	1	UNATTENDED
05218.12*A	IN	1	UNATTENDED
05218.13*A	IN	1	UNATTENDED
05218.14*C	IN	1	UNATTENDED
05228.*A	IN	1	UNATTENDED
05228.02*A	IN	1	UNATTENDED
05228.03*H	IN	1	UNATTENDED
05228.04*H	IN	1	UNATTENDED
05229.*A	IN	1	UNATTENDED
05231.2*A	IN	1	UNATTENDED
05231.3*A	IN	1	IRREGULAR
05231.31*H	IN	1	UNATTENDED
05231.5*A	IN	1	ALL/ALL/ALL
05231.51*A	IN	1	UNATTENDED
05232.*A	IN	1	UNATTENDED
05232.11*A	IN	2	IRREGULAR
05232.33*A	IN	1	UNATTENDED
05235.*H	IN	1	UNATTENDED
05236.*A	IN	1	UNATTENDED
05238.01*A	IN	1	UNATTENDED
05244.11*A	IN	1	ALL/ALL/ALL
05247.2*A	IN	1	IRREGULAR
05248.*A	IN	1	ALL/ALL/0600-2200
05251.5*A	IN	1	UNATTENDED
05251.51*A	IN	2	IRREGULAR
05253.1*A	IN	1	UNATTENDED
05257.*A	IN	1	ALL/ALL/ALL
05257.12*H	IN	1	IRREGULAR
05257.15*H	IN	1	ALL/ALL/ALL
05262.*A	IN	1	IRREGULAR
05262.1*A	IN	1	UNATTENDED
05268.02*A	IN	1	UNATTENDED
05268.2*A	IN	1	UNATTENDED
05268.5*A	IN	1	ALL/ALL/0800-1800
05268.7*A	IN	1	UNATTENDED
05269.1*A	IN	1	UNATTENDED
05281.*A	IN	1	5 NOV-9 MAR/ALL/0700-1900
05281.*A	IN	2	10 MAR-4 NOV/ALL/0700-2100
05281.01*H	IN	1	ALL/ALL/ALL
05281.03*H	IN	1	UNATTENDED
05281.04*H	IN	1	UNATTENDED
05281.05*H	IN	1	UNATTENDED
05281.06*H	IN	1	UNATTENDED
05281.07*H	IN	1	UNATTENDED
05281.09*H	IN	1	ON CALL
05282.*A	IN	1	ALL/ALL/0500-2300
05290.08*A	IN	1	UNATTENDED
05291.*A	IN	1	ALL/ALL/0800-1700
05291.013*H	IN	1	UNATTENDED
05293.*A	IN	1	ALL/ALL/IREG
05293.01*A	IN	1	UNATTENDED
05293.03*H	IN	1	UNATTENDED
05293.04*A	IN	1	UNATTENDED
05293.6*A	IN	1	UNATTENDED
05295.6*A	IN	1	UNATTENDED
05295.9*A	IN	1	UNATTENDED
05296.1*A	IN	1	ALL/ALL/0900-1700
05296.11*C	IN	1	UNATTENDED
05297.*A	IN	1	UNATTENDED
05303.*A	IN	1	ALL/ALL/ALL
05303.01*H	IN	1	UNATTENDED
05303.02*H	IN	1	UNATTENDED
05307.*A	IN	1	UNATTENDED
05308.*A	IN	1	ALL/MON-SAT/0700-1800
05308.*A	IN	2	ALL/SUN/0900-1700
05308.4*A	IN	1	ALL/ALL/8
05310.02*A	IN	1	UNATTENDED
05310.03*A	IN	1	UNATTENDED
05310.5*A	IN	1	UNATTENDED
05311.*A	IN	1	ALL/ALL/0800-1630
05311.1*A	IN	1	UNATTENDED
05311.2*A	IN	1	UNATTENDED
05315.*A	IN	1	UNATTENDED
05315.11*A	IN	1	UNATTENDED
05315.13*A	IN	1	UNATTENDED
05315.14*A	IN	1	UNATTENDED
05315.16*A	IN	1	UNATTENDED
05315.17*H	IN	1	UNATTENDED
05319.*A	IN	1	ALL/MON-FRI/ON CALL
05319.001*A	IN	1	UNATTENDED
05319.04*H	IN	1	ALL/ALL/ALL
05320.*A	IN	1	UNATTENDED
05323.01*A	IN	1	UNATTENDED
05327.*A	IN	1	ALL/MON-FRI/0800-2000
05327.*A	IN	2	ALL/SAT-SUN/0800-1700
05327.1*U	IN	1	UNATTENDED
05334.*H	IN	1	ALL/MON-SAT/1000-1700
05334.1*A	IN	1	UNATTENDED
05335.*A	IN	1	UNATTENDED
05335.5*A	IN	1	UNATTENDED
05335.55*C	IN	1	UNATTENDED
05335.6*A	IN	1	UNATTENDED
05335.81*H	IN	1	UNATTENDED
05335.82*H	IN	1	UNATTENDED
05337.*A	IN	1	ALL/IREG/DALGT
05338.1*A	IN	1	UNATTENDED
05339.11*H	IN	1	UNATTENDED
05339.12*A	IN	1	UNATTENDED
05339.3*A	IN	1	UNATTENDED
05352.*A	IN	1	UNATTENDED
05353.*A	IN	1	ALL/ALL/0800-1700
05353.01*H	IN	1	UNATTENDED
05354.4*A	IN	1	UNATTENDED
05354.8*A	IN	1	UNATTENDED
05355.3*A	IN	1	UNATTENDED
05362.*A	IN	1	ALL/MON-FRI/0700-1600
05365.*A	IN	1	ALL/MON - SAT/0800-1700
05365.*A	IN	2	ALL/SUN/1200-1700
05365.01*A	IN	1	UNATTENDED
05365.16*H	IN	1	UNATTENDED
05370.*A	IN	1	ALL/MON-SAT/0700-1900
05370.*A	IN	2	ALL/SUN/0800-1700
05370.01*H	IN	1	UNATTENDED
05370.03*H	IN	1	UNATTENDED
05370.08*H	IN	1	UNATTENDED
05370.09*H	IN	1	ALL/ALL/ALL
05370.13*H	IN	1	UNATTENDED
05370.15*H	IN	1	UNATTENDED
05370.22*H	IN	1	ALL/ALL/ALL
05370.24*H	IN	1	UNATTENDED
05370.25*H	IN	1	UNATTENDED
05370.3*A	IN	1	ALL/ALL/0700-DUSK
05370.4*A	IN	1	ALL/ALL/0800-1900
05370.5*A	IN	1	ALL/ALL/0700-2100
05370.6*A	IN	2	IRREGULAR
05370.7*A	IN	1	ALL/ALL/0600-2000
05370.8*H	IN	1	ALL/MON-FRI/0800-1630
05370.8*H	IN	2	ALL/SAT-SUN/ON REQ
05370.9*A	IN	1	ALL/MON-FRI/0700-1530
05371.01*H	IN	1	ALL/M-F/8AM-4PM
05371.02*H	IN	1	UNATTENDED
05371.03*H	IN	1	UNATTENDED
05372.1*H	IN	1	UNATTENDED
05372.11*H	IN	1	UNATTENDED
05372.12*H	IN	1	UNATTENDED
05375.*A	IN	1	ALL/ALL/ALL
05381.*A	IN	1	UNATTENDED
05381.01*A	IN	1	UNATTENDED
05384.1*A	IN	1	UNATTENDED
05386.*H	IN	1	UNATTENDED
05388.11*A	IN	2	ALL/ALL/0600-2300
05398.*A	IN	2	ALL/MON - SAT/0800-1700
05398.*A	IN	3	ALL/SUN/1200-1700
05398.02*H	IN	1	UNATTENDED
05398.8*A	IN	1	ALL/MON-FRI/0800-1600
05399.81*A	IN	1	UNATTENDED
05406.*A	IN	1	ALL/ALL/0800-DUSK
05406.02*A	IN	1	UNATTENDED
05406.04*H	IN	1	UNATTENDED
05406.1*A	IN	1	ALL/ALL/0800-1800
05409.2*H	IN	1	UNATTENDED
05409.3*A	IN	1	ALL/ALL/DAWN-DUSK
05409.4*A	IN	1	ALL/MON-FRI/DALGT
05409.5*A	IN	1	UNATTENDED
05409.6*H	IN	1	UNATTENDED
05410.*A	IN	1	ALL/ALL/0800-1800
05410.7*A	IN	1	UNATTENDED
05411.*A	IN	1	UNATTENDED
05412.*A	IN	1	ALL/ALL/0600-2200
05412.01*A	IN	1	ALL/ALL/ALL
05412.02*H	IN	1	UNATTENDED
05412.03*A	IN	1	UNATTENDED
05412.04*H	IN	1	UNATTENDED
05412.05*H	IN	1	UNATTENDED
05413.*H	IN	1	UNATTENDED
05415.*A	IN	1	UNATTENDED
05417.03*A	IN	1	UNATTENDED
05417.1*H	IN	1	UNATTENDED
05418.*A	IN	1	ALL/ALL/SR-SS
05419.*A	IN	1	UNATTENDED
05420.2*A	IN	1	UNATTENDED
05421.*A	IN	1	UNATTENDED
05423.*A	IN	1	UNATTENDED
05424.*A	IN	2	ALL/MON-FRI/0700-1700
05424.*A	IN	3	ALL/SAT-SUN/0800-1700
05424.05*H	IN	1	UNATTENDED
05428.01*H	IN	1	UNATTENDED
05431.1*A	IN	1	ALL/ALL/IRREGULAR
05432.*A	IN	1	UNATTENDED
05432.4*A	IN	1	UNATTENDED
05433.51*A	IN	1	IRREGULAR
05433.81*A	IN	1	IRREGULAR
05434.51*A	IN	1	UNATTENDED
05434.6*A	IN	1	UNATTENDED
05442.11*H	IN	1	UNATTENDED
05442.12*U	IN	1	UNATTENDED
05442.61*A	IN	1	UNATTENDED
05442.74*A	IN	1	UNATTENDED
05442.8*A	IN	1	UNATTENDED
05442.81*A	IN	1	UNATTENDED
05444.1*A	IN	2	ALL/ALL/0800-1800
05444.11*H	IN	1	ALL/ALL/ALL
05447.*A	IN	1	UNATTENDED
05447.1*A	IN	1	IRREGULAR
05447.2*A	IN	1	UNATTENDED
05449.1*H	IN	1	UNATTENDED
05449.9*A	IN	1	UNATTENDED
05453.*A	IN	1	UNATTENDED
05453.1*A	IN	1	MAR-OCT/ALL/0800-1730
05453.1*A	IN	2	NOV-FEB/ALL/0800-1700
05459.5*A	IN	1	ALL/ALL/DALGT
05460.*A	IN	1	ALL/MON-FRI/0700-1800
05460.*A	IN	2	ALL/SAT/0800-1700
05460.*A	IN	3	ALL/SUN/0800-1700
05460.12*A	IN	1	ALL/ALL/IREG
05463.*A	IN	1	UNATTENDED
05469.09*H	IN	1	ALL/ALL/ALL
05469.17*A	IN	1	UNATTENDED
05469.18*A	IN	1	UNATTENDED
05469.19*A	IN	1	UNATTENDED
05469.2*A	IN	1	UNATTENDED
05469.73*A	IN	1	UNATTENDED
05470.*A	IN	2	ALL/ALL/IREG
05470.01*H	IN	1	UNATTENDED
05470.4*A	IN	1	UNATTENDED
05470.44*A	IN	1	UNATTENDED
05470.51*H	IN	1	UNATTENDED
05470.52*H	IN	1	ALL/MON-FRI/0800-1700
05472.*A	IN	1	ALL/ALL/0800-1700
05472.31*H	IN	1	UNATTENDED
05477.3*A	IN	1	ALL/ALL/ALL
05477.31*A	IN	1	UNATTENDED
05477.4*A	IN	1	ALL/ALL/DALGT
05482.01*H	IN	1	UNATTENDED
05482.1*A	IN	1	UNATTENDED
05495.01*A	IN	1	UNATTENDED
05496.1*A	IN	1	ALL/ALL/0800-1700
05496.9*A	IN	1	IRREGULAR
05499.3*A	IN	1	UNATTENDED
05499.51*H	IN	1	UNATTENDED
05499.53*H	IN	1	UNATTENDED
05501.01*A	IN	1	UNATTENDED
05501.02*A	IN	1	UNATTENDED
05504.*A	IN	1	UNATTENDED
05504.01*A	IN	1	IRREGULAR
05504.02*A	IN	1	ALL/ALL/ALL
05504.03*A	IN	1	UNATTENDED
05504.11*A	IN	1	UNATTENDED
05504.2*A	IN	1	UNATTENDED
05504.3*U	IN	1	UNATTENDED
05504.4*U	IN	1	UNATTENDED
05511.*A	IN	1	ALL/ALL/0600-2200
05511.1*A	IN	1	ALL/ALL/0800-DUSK
05511.13*H	IN	1	ALL/ALL/ALL
05511.15*A	IN	1	UNATTENDED
05511.2*A	IN	1	ALL/ALL/ALL
05514.01*H	IN	1	UNATTENDED
05514.2*H	IN	1	24 HRS / 7 DAYS
05517.*A	IN	1	ALL/ALL/0800-1700
05521.*H	IN	1	ALL/ALL/ALL
05524.5*C	IN	1	UNATTENDED
05525.*A	IN	1	UNATTENDED
05526.1*A	IN	1	ALL/ALL/0800-1800
05527.01*H	IN	1	UNATTENDED
05529.*A	IN	1	UNATTENDED
05530.01*A	IN	1	UNATTENDED
05534.*A	IN	1	UNATTENDED
05534.56*A	IN	1	UNATTENDED
05534.63*A	IN	1	UNATTENDED
05534.7*A	IN	1	UNATTENDED
05535.*A	IN	1	ALL/MON/1300-0100
05535.*A	IN	2	ALL/TUE-FRI/1300-0400
05535.*A	IN	3	ALL/SAT/1500-2300
05536.11*A	IN	1	UNATTENDED
05536.15*A	IN	1	UNATTENDED
05536.2*A	IN	1	UNATTENDED
05540.81*U	IN	1	UNATTENDED
05540.82*A	IN	1	ALL/ALL/DAWN-DUSK
05544.*A	IN	1	ALL/MON-SAT/0800-1700
05544.*A	IN	2	ALL/SUN/1200-1700
05544.01*H	IN	1	ALL/ALL/ALL
05548.*A	IN	1	IRREGULAR
05560.1*A	IN	1	UNATTENDED
05562.1*H	IN	1	UNATTENDED
05562.11*A	IN	1	UNATTENDED
05563.*A	IN	1	UNATTENDED
05566.01*H	IN	1	UNATTENDED
05566.11*A	IN	1	UNATTENDED
05568.*A	IN	1	ALL/MON-SUN/0800-1700
05568.01*H	IN	1	ALL/ALL/ALL
05568.5*A	IN	1	UNATTENDED
05570.1*A	IN	1	UNATTENDED
05571.*A	IN	1	UNATTENDED
05572.*A	IN	1	UNATTENDED
05572.04*A	IN	1	UNATTENDED
05574.01*A	IN	1	ALL/MON-SAT/0900-1700
05574.01*A	IN	2	ALL/SUN/1000-1600
05574.02*A	IN	1	ALL/ALL/1830-DUSK
05574.03*C	IN	1	UNATTENDED
05574.1*A	IN	1	UNATTENDED
05577.05*A	IN	1	UNATTENDED
05577.1*H	IN	1	ALL/MON-SAT/DALGT
05579.*A	IN	1	UNATTENDED
05581.*A	IN	1	UNATTENDED
05583.1*H	IN	1	ALL/MON-FRI/0800-1700
05586.1*A	IN	2	ALL/MON-FRI/0800-1700
05586.1*A	IN	3	ALL/SAT-SUN/BY APPT
05589.71*H	IN	1	ALL/MON-FRI/0800-1700
05589.73*H	IN	1	UNATTENDED
05589.74*A	IN	1	UNATTENDED
05590.*A	IN	1	ALL/MON-SAT/0800-1900
05590.52*A	IN	1	UNATTENDED
05596.7*A	IN	1	UNATTENDED
05597.51*A	IN	1	UNATTENDED
05598.*A	IN	2	ALL/MON-FRI/1200-2100
05598.03*H	IN	1	UNATTENDED
05598.04*A	IN	1	UNATTENDED
05602.*A	IN	1	ALL/ALL/0800-1745
05602.01*H	IN	1	UNATTENDED
05608.01*C	IN	1	UNATTENDED
05612.4*A	IN	1	ALL/ALL/DALGT
05612.73*A	IN	1	UNATTENDED
05612.74*A	IN	1	UNATTENDED
05613.*A	IN	1	ALL/ALL/0800-1700
05614.01*A	IN	1	UNATTENDED
05615.7*A	IN	1	UNATTENDED
05615.8*H	IN	1	UNATTENDED
05624.01*H	IN	1	ALL/ALL/ALL
05624.02*A	IN	1	UNATTENDED
05624.03*A	IN	1	UNATTENDED
05626.*A	IN	1	UNATTENDED
05628.94*A	IN	1	UNATTENDED
05628.95*A	IN	1	UNATTENDED
05628.96*A	IN	1	UNATTENDED
05629.1*A	IN	3	IRREGULAR
05629.12*A	IN	1	IRREGULAR
05629.13*H	IN	1	UNATTENDED
05635.*A	IN	1	IRREGULAR
05635.1*A	IN	1	UNATTENDED
05643.*A	IN	1	ALL/ALL/0800-1630
05643.01*A	IN	1	UNATTENDED
05643.7*A	IN	1	UNATTENDED
05645.*A	IN	1	UNATTENDED
05649.*A	IN	1	ALL/MON-FRI/EVENING
05649.*A	IN	2	ALL/SAT-SUN/DALGT
05649.1*A	IN	2	ALL/ALL/0800-1800
05649.11*A	IN	1	UNATTENDED
05649.12*H	IN	1	ALL/ALL/0700-2300
05649.15*A	IN	1	UNATTENDED
05654.01*A	IN	1	UNATTENDED
05655.*A	IN	1	ALL/ALL/0800-1800
05656.*A	IN	1	IRREGULAR
05659.*A	IN	1	UNATTENDED
05661.*A	IN	1	ALL/ALL/ALL
05661.02*H	IN	1	UNATTENDED
05663.*A	IN	1	MAR-NOV/ALL/DAWN-DUSK
05665.*H	IN	1	UNATTENDED
05666.*A	IN	1	UNATTENDED
